Married,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue,HistoryOfOverduePayments,user,sensitive,label
1,2,120,20,0,6,0,120,0,1,4,1,0,0,0
0,2,110,60,0,6,0,80,0,2,4,1,1,1,0
0,2,890,150,0,5,0,890,50,0,0,0,2,1,1
1,2,1510,60,0,0,3,1430,60,0,0,0,3,0,1
1,2,1090,1120,1,2,0,260,60,0,0,0,4,0,1
0,3,1970,80,0,0,3,1970,80,0,0,0,5,1,1
0,3,16570,1680,0,0,5,11240,1680,0,0,0,6,1,1
0,2,360,50,4,6,0,360,10,0,0,0,7,1,1
1,1,430,100,0,6,0,340,100,1,2,1,8,0,1
0,1,420,400,1,4,0,0,0,0,0,0,9,1,1
0,1,340,110,1,6,0,340,70,1,2,1,10,1,1
0,3,680,680,2,6,0,370,670,1,2,1,11,1,1
0,2,370,200,0,6,0,370,30,0,0,0,12,1,1
0,2,2060,100,0,0,4,2010,100,2,7,1,13,1,0
0,3,2160,90,0,0,0,2160,90,0,0,0,14,1,1
0,1,1550,50,0,0,1,1550,0,1,3,1,15,0,1
0,3,580,100,0,0,5,470,100,1,8,1,16,1,0
1,3,7730,5970,1,1,0,7730,320,0,0,0,17,0,1
1,3,0,0,0,6,0,0,0,1,1,1,18,0,1
0,3,0,0,0,6,0,0,0,1,1,1,19,1,1
0,1,1170,1030,1,4,0,1170,90,0,0,0,20,1,1
1,2,20,20,1,6,0,10,10,0,0,0,21,0,0
0,2,1430,110,0,0,0,1250,60,2,8,1,22,1,0
1,3,590,590,2,6,0,170,590,0,0,0,23,0,0
0,3,250,180,2,6,0,140,180,0,0,0,24,1,1
0,1,1450,60,0,0,2,1450,60,0,0,0,25,1,1
0,3,10,30,3,6,0,0,0,1,1,1,26,1,0
0,1,690,50,0,0,0,690,40,0,0,0,27,1,1
1,1,930,930,2,5,0,20,100,0,0,0,28,0,1
0,3,560,50,0,0,0,470,50,0,0,0,29,1,1
0,3,1130,1140,3,6,0,510,530,0,0,0,30,1,1
0,2,930,50,0,0,0,930,50,1,2,1,31,1,0
0,3,2840,110,0,0,4,2840,90,0,0,0,32,1,1
1,2,2180,2180,3,6,0,330,130,0,0,0,33,0,1
1,3,950,950,2,6,0,420,150,0,0,0,34,0,1
0,3,920,20,5,6,0,920,0,0,0,0,35,1,1
1,2,5690,250,0,0,0,5690,250,0,0,0,36,0,1
0,2,570,1460,1,4,0,460,50,0,0,0,37,1,1
0,3,20,20,1,6,0,0,20,1,1,1,38,1,0
0,3,550,300,2,6,0,20,280,1,2,1,39,1,1
0,3,19200,5770,0,0,1,6680,310,0,0,0,40,1,1
0,3,2060,140,0,0,6,2060,90,0,0,0,41,1,1
0,2,180,90,0,1,0,60,50,0,0,0,42,1,1
