src,dst
57,439
919,834
285,164
445,680
934,1031
746,640
310,312
567,966
265,729
257,680
283,290
670,530
762,46
566,916
898,198
31,921
401,635
149,347
206,392
484,590
492,351
898,734
125,438
27,624
890,688
322,965
0,597
46,326
309,659
261,926
472,348
1032,1016
543,866
414,916
267,34
342,745
555,453
931,822
925,969
756,265
57,488
164,457
566,438
1003,58
845,977
705,916
414,556
165,991
946,743
549,862
745,635
48,546
203,62
607,589
737,363
963,834
191,638
273,145
1033,488
949,678
996,445
883,678
943,242
12,657
736,777
507,898
869,228
659,469
602,63
692,1036
662,749
996,145
562,1008
302,235
184,538
477,702
924,450
843,1032
894,450
607,567
830,813
28,373
399,20
841,56
448,321
577,807
333,230
517,495
79,165
369,30
996,834
462,414
232,678
719,550
347,532
881,461
520,207
967,542
858,180
84,746
458,322
1000,607
192,509
901,812
144,145
232,965
187,0
509,107
184,953
589,290
301,230
848,707
962,189
433,33
50,64
498,788
816,746
36,350
732,101
1000,509
650,589
706,205
406,870
235,392
509,607
25,863
862,333
591,169
351,662
889,175
238,485
347,550
364,423
851,257
418,192
118,214
883,648
452,668
696,92
789,405
832,297
300,462
554,1013
929,589
815,469
333,946
634,2
444,630
0,710
498,447
541,1004
996,972
912,549
324,109
621,760
879,95
728,616
458,494
276,118
101,309
923,834
577,989
25,130
843,122
723,396
923,223
498,1031
159,660
767,294
101,672
972,108
981,746
461,875
421,789
220,606
814,716
907,1030
477,297
596,872
733,923
445,578
246,1008
330,943
186,250
663,844
802,890
566,464
164,834
802,257
926,788
333,517
950,627
1014,18
146,615
28,340
128,488
851,508
773,344
169,459
1018,930
433,204
406,192
932,753
675,31
567,232
51,421
132,886
356,82
737,494
97,812
485,981
882,478
789,756
913,587
875,282
115,177
963,355
29,635
734,767
875,723
916,46
283,1
318,939
553,611
628,640
590,913
238,185
355,291
739,551
672,741
712,130
585,977
235,522
642,185
608,614
796,294
61,268
693,25
235,206
966,604
507,495
124,171
465,754
533,53
546,945
72,103
624,100
662,239
741,295
273,295
956,509
819,482
495,565
172,541
652,610
854,536
277,359
213,635
0,221
770,518
649,754
637,438
526,19
218,744
333,996
711,846
841,635
541,1003
1032,499
148,59
302,809
644,881
549,1020
205,1040
50,261
895,1002
343,522
946,107
438,61
495,184
238,101
844,777
64,694
9,656
919,668
410,545
189,736
229,567
51,761
356,858
761,898
796,405
803,252
737,732
720,652
96,67
38,589
