src,dst
0.0,838.0
0.0,891.0
1.0,130.0
1.0,521.0
1.0,658.0
1.0,677.0
1.0,907.0
2.0,84.0
2.0,241.0
2.0,316.0
2.0,422.0
2.0,867.0
2.0,879.0
2.0,984.0
3.0,501.0
4.0,522.0
4.0,624.0
5.0,3.0
5.0,4.0
5.0,42.0
5.0,87.0
5.0,150.0
5.0,211.0
5.0,212.0
5.0,242.0
5.0,277.0
5.0,298.0
5.0,310.0
5.0,316.0
5.0,352.0
5.0,365.0
5.0,392.0
5.0,457.0
5.0,486.0
5.0,501.0
5.0,522.0
5.0,529.0
5.0,563.0
5.0,672.0
5.0,685.0
5.0,731.0
5.0,737.0
5.0,766.0
5.0,791.0
5.0,796.0
5.0,828.0
5.0,881.0
5.0,939.0
5.0,940.0
5.0,968.0
5.0,971.0
6.0,786.0
7.0,38.0
7.0,63.0
7.0,217.0
7.0,425.0
7.0,511.0
7.0,615.0
7.0,616.0
7.0,626.0
7.0,782.0
7.0,887.0
7.0,905.0
7.0,981.0
8.0,6.0
8.0,84.0
8.0,231.0
8.0,277.0
8.0,430.0
8.0,436.0
8.0,502.0
8.0,629.0
8.0,786.0
8.0,816.0
9.0,320.0
10.0,462.0
11.0,504.0
11.0,724.0
11.0,775.0
11.0,896.0
11.0,922.0
11.0,926.0
12.0,60.0
12.0,80.0
12.0,196.0
12.0,254.0
12.0,295.0
12.0,351.0
12.0,405.0
12.0,424.0
12.0,435.0
12.0,480.0
12.0,521.0
12.0,576.0
12.0,600.0
12.0,658.0
12.0,909.0
12.0,982.0
13.0,544.0
13.0,823.0
14.0,155.0
15.0,49.0
15.0,126.0
15.0,345.0
15.0,414.0
15.0,619.0
15.0,691.0
15.0,722.0
15.0,836.0
16.0,179.0
16.0,266.0
16.0,803.0
17.0,132.0
17.0,402.0
17.0,525.0
18.0,116.0
18.0,301.0
18.0,378.0
18.0,603.0
18.0,702.0
18.0,714.0
18.0,967.0
19.0,40.0
19.0,81.0
19.0,88.0
19.0,209.0
19.0,224.0
19.0,241.0
19.0,299.0
19.0,323.0
19.0,327.0
19.0,408.0
19.0,509.0
19.0,518.0
19.0,567.0
19.0,642.0
19.0,666.0
19.0,694.0
19.0,895.0
19.0,942.0
19.0,963.0
20.0,206.0
20.0,246.0
20.0,432.0
20.0,852.0
20.0,891.0
21.0,413.0
21.0,689.0
21.0,695.0
22.0,159.0
22.0,372.0
22.0,456.0
22.0,516.0
22.0,581.0
22.0,586.0
22.0,617.0
22.0,693.0
22.0,837.0
22.0,969.0
23.0,6.0
23.0,30.0
23.0,39.0
23.0,45.0
23.0,76.0
23.0,84.0
23.0,90.0
23.0,97.0
23.0,98.0
23.0,119.0
23.0,149.0
23.0,160.0
23.0,183.0
23.0,207.0
23.0,283.0
23.0,298.0
23.0,308.0
23.0,338.0
23.0,346.0
23.0,352.0
23.0,360.0
23.0,370.0
23.0,388.0
23.0,400.0
23.0,427.0
23.0,461.0
23.0,463.0
23.0,478.0
23.0,484.0
23.0,486.0
23.0,493.0
23.0,502.0
23.0,503.0
23.0,516.0
23.0,525.0
23.0,529.0
23.0,556.0
23.0,578.0
23.0,669.0
23.0,688.0
23.0,757.0
23.0,786.0
23.0,803.0
23.0,813.0
23.0,848.0
23.0,867.0
23.0,875.0
23.0,882.0
23.0,885.0
23.0,893.0
23.0,901.0
23.0,935.0
23.0,959.0
23.0,997.0
23.0,999.0
24.0,176.0
24.0,196.0
24.0,243.0
24.0,276.0
24.0,290.0
24.0,366.0
24.0,385.0
24.0,490.0
24.0,492.0
24.0,792.0
24.0,932.0
25.0,31.0
25.0,36.0
25.0,38.0
25.0,53.0
25.0,55.0
25.0,60.0
25.0,70.0
25.0,132.0
25.0,143.0
25.0,159.0
25.0,165.0
25.0,208.0
25.0,236.0
25.0,260.0
25.0,274.0
25.0,275.0
25.0,290.0
25.0,343.0
25.0,348.0
25.0,390.0
25.0,424.0
25.0,460.0
25.0,511.0
25.0,599.0
25.0,626.0
25.0,709.0
25.0,748.0
25.0,749.0
25.0,751.0
25.0,758.0
25.0,782.0
25.0,822.0
25.0,864.0
25.0,874.0
25.0,909.0
25.0,969.0
26.0,84.0
26.0,201.0
26.0,261.0
26.0,440.0
26.0,443.0
26.0,493.0
26.0,542.0
26.0,573.0
26.0,849.0
26.0,995.0
26.0,997.0
27.0,11.0
27.0,14.0
27.0,21.0
27.0,30.0
27.0,58.0
27.0,82.0
27.0,111.0
27.0,112.0
27.0,119.0
27.0,120.0
27.0,124.0
27.0,137.0
27.0,139.0
27.0,153.0
27.0,155.0
27.0,237.0
27.0,243.0
27.0,244.0
27.0,249.0
27.0,271.0
27.0,280.0
27.0,305.0
27.0,308.0
27.0,309.0
27.0,312.0
27.0,324.0
27.0,331.0
27.0,337.0
27.0,342.0
27.0,349.0
27.0,359.0
27.0,362.0
27.0,369.0
27.0,382.0
27.0,389.0
27.0,396.0
27.0,419.0
27.0,420.0
27.0,427.0
27.0,436.0
27.0,448.0
27.0,449.0
27.0,470.0
27.0,482.0
27.0,483.0
27.0,491.0
27.0,502.0
27.0,504.0
27.0,513.0
27.0,523.0
27.0,526.0
27.0,528.0
27.0,531.0
27.0,556.0
27.0,565.0
27.0,582.0
27.0,591.0
27.0,593.0
27.0,596.0
27.0,604.0
27.0,607.0
27.0,610.0
27.0,618.0
27.0,627.0
27.0,633.0
27.0,647.0
27.0,660.0
27.0,691.0
27.0,695.0
27.0,700.0
27.0,702.0
27.0,707.0
