src,dst
0,21931
2,20284
2,63063
2,40936
3,52493
6,66810
7,59598
8,32731
11,55672
16,69207
17,54570
19,23908
21,42720
22,56967
23,46121
23,58592
24,65863
27,62814
29,50367
29,53481
29,13367
29,65020
29,11914
29,34463
29,44028
29,63176
29,58743
33,43026
34,46454
35,65382
36,384
38,21835
41,39503
41,52504
41,17085
41,17618
41,48199
41,40889
41,49412
44,69755
45,9429
47,56368
48,20833
49,48095
49,48095
49,48095
50,68512
52,58599
54,53543
54,63001
56,63476
56,63476
58,15266
59,66255
62,976
66,66196
67,60333
69,7626
71,11203
71,11203
71,11203
71,11203
71,13347
71,27558
73,61768
73,61768
73,5288
75,62523
76,40591
76,40591
76,40591
76,67270
76,67270
76,67270
77,31262
77,31262
81,64707
81,64707
81,64707
82,7114
83,38361
83,38361
83,38361
83,38361
83,38361
83,57677
83,56389
83,66389
83,48493
83,51634
83,1104
83,1104
83,1104
83,48489
85,36225
86,50028
86,54730
86,48009
86,53355
87,66910
87,49897
88,19110
89,2153
89,5291
89,9064
89,56663
89,54220
89,34682
89,44915
89,41344
89,26130
89,19848
89,5466
89,54503
89,54503
89,32474
89,63474
89,1470
89,56725
89,13148
89,51955
89,57932
89,17537
89,61464
89,68558
89,60210
89,9865
89,53849
91,13823
91,31402
92,43400
92,42529
93,41933
93,26366
93,44565
93,27969
93,69690
93,52215
93,51703
93,69462
93,27737
93,27737
93,27737
93,70442
93,29280
93,2906
93,15113
93,5873
93,4153
93,52387
93,57668
93,57829
93,66322
93,46485
93,64211
93,65593
93,54238
93,23008
95,6622
96,20695
99,60387
100,20993
101,65681
101,61790
101,34956
102,48681
102,48681
102,15518
102,66152
102,66152
102,68856
102,48681
102,53239
102,53239
102,66152
102,66152
102,66152
102,66152
102,36976
102,36976
102,36976
102,65439
102,65439
102,65439
102,65439
102,65439
102,65439
102,66152
102,66152
102,66152
102,38757
102,42298
102,17922
102,17922
102,17922
102,17922
102,17922
102,17922
102,71002
102,56195
102,22303
102,22303
102,22303
102,28088
102,65914
102,5249
102,29100
102,38251
102,38251
102,38251
102,48567
102,48567
102,63639
102,63639
102,1437
102,1437
102,63639
102,63639
102,2203
102,2203
102,60416
102,60416
102,60416
102,62368
102,63359
102,63359
102,28088
102,28088
102,59334
102,59334
102,22202
102,22202
102,56195
102,63336
102,63336
102,13029
102,13029
102,56138
102,56138
102,14384
102,14384
102,63966
102,63966
102,17877
102,56226
102,70206
103,14892
106,51594
108,70984
109,39294
109,39294
111,28845
112,4083
112,4083
117,65999
120,66901
122,54336
124,7421
124,12951
125,55675
125,60873
125,29314
125,6610
125,23960
125,61062
125,30140
125,57669
125,54237
125,31702
125,13892
125,44949
125,60673
125,1749
125,67790
125,65651
125,1287
125,62211
126,55912
126,60492
126,1987
128,61407
133,13217
133,13217
134,23529
134,55405
136,44584
139,17528
139,27933
143,65264
145,18139
146,39218
147,61112
147,52047
149,70508
149,36048
152,23245
153,68845
156,35178
156,19798
157,17653
158,69021
162,35421
163,30165
165,64743
167,50178
171,54792
172,22660
173,68011
173,68011
174,50948
175,26415
178,34405
184,8999
185,63771
186,58836
186,17524
186,21996
187,4514
189,64513
191,25153
192,28730
195,37899
196,49189
196,49189
197,67363
198,51287
199,51869
199,51869
199,9779
199,9779
199,56285
201,60294
203,67066
204,42455
209,69436
213,28883
214,59477
216,65531
218,59595
221,57924
221,54335
223,5621
224,29889
224,54403
224,13242
224,54403
225,44380
228,44888
228,21456
230,68570
231,18950
232,45431
234,20251
235,26415
236,30061
236,18676
238,1609
238,45308
239,20912
240,66368
241,37848
241,19054
241,58911
241,63248
243,38628
247,53942
247,70737
248,52986
248,3162
249,4711
250,56620
251,8974
252,45594
253,20158
253,2200
257,5026
257,28654
262,10870
262,65623
262,24770
262,24770
263,55298
264,15199
265,9045
266,62876
266,60269
266,60404
266,66797
266,58597
266,11924
266,59222
266,33845
266,55536
266,51921
266,70913
266,37342
266,61213
266,70402
266,14560
266,59635
266,14335
267,61922
268,53935
269,55073
270,54449
274,11526
275,67978
277,9079
277,48232
277,18079
277,55051
277,3934
277,38929
279,14060
280,63382
281,69800
281,13950
281,13950
281,29567
281,29588
281,60931
281,67762
281,3698
281,7015
281,56071
281,56071
281,6585
282,68959
287,62511
289,40430
290,2275
290,2275
294,24377
296,51811
297,6626
299,31847
300,57546
302,6945
302,2069
302,2069
304,59214
304,59214
305,15370
306,65211
309,24222
312,49626
313,58929
313,58929
314,12163
314,32024
315,11133
316,64096
316,25723
318,54174
318,54174
318,42656
318,42656
320,61474
320,59094
320,29048
320,29048
320,10077
320,29048
320,10077
320,51163
320,20190
320,5070
320,63182
320,1885
320,62774
320,62774
320,57849
320,64205
321,62389
321,51645
321,62389
323,56249
