src,dst
0,17971
17971,512
17971,27126
17971,33652
17971,37229
17971,39386
17971,43433
17971,48361
17971,53116
17971,66264
17971,70059
17971,76220
17971,77331
17971,77777
17971,78028
1,88635
88635,10162
88635,48548
88635,58060
2,56107
2,78514
2,93794
56107,3408
56107,80354
56107,88187
78514,8654
78514,31992
3,27617
4,20175
4,44262
20175,3750
20175,16527
20175,23398
20175,72009
20175,77589
20175,78535
20175,86236
44262,18991
44262,20376
44262,46431
44262,57192
44262,71072
44262,71572
44262,73988
44262,77319
44262,78806
44262,81814
44262,82239
44262,85414
44262,88990
44262,89709
44262,90941
44262,100765
5,7070
7070,45751
6,68488
68488,1462
68488,2683
68488,5059
68488,5891
68488,21959
68488,28466
68488,33786
68488,44550
68488,54576
68488,60235
68488,62881
68488,66524
68488,69244
68488,81493
68488,81545
68488,82168
68488,89706
68488,92753
68488,93347
68488,94238
7,6440
7,41293
7,78325
6440,94231
41293,53876
41293,58556
41293,97698
8,13888
8,91600
8,101235
9,94686
94686,9310
94686,26733
94686,29987
94686,57305
10,29291
11,39721
11,46945
11,50234
11,72599
11,74431
11,80090
11,83135
11,92556
11,92678
39721,6625
39721,34293
39721,42697
39721,63818
46945,32375
50234,43288
72599,48369
92556,2913
12,30084
13,18000
18000,58117
14,18360
14,25413
14,81002
25413,94684
81002,3722
15,3676
15,28341
16,45567
17,93575
18,65
65,94781
19,56696
19,87771
20,4843
20,45679
20,54192
4843,2709
4843,3035
4843,4991
4843,10582
4843,13190
4843,16755
4843,18535
4843,19574
4843,19709
4843,26293
4843,27371
4843,29512
4843,30779
4843,36181
4843,39256
4843,40485
4843,40492
4843,40753
4843,42031
4843,42303
4843,45908
4843,49253
4843,50435
4843,52310
4843,56383
4843,61918
4843,65122
4843,71846
4843,73802
4843,75032
4843,76871
4843,77053
4843,77395
4843,79829
4843,80433
4843,85331
4843,85732
4843,91988
4843,92660
4843,97649
4843,99164
4843,100557
45679,69748
54192,16042
54192,61848
54192,93509
21,38
38,75635
22,67592
67592,25675
67592,28644
67592,31297
67592,45219
67592,55394
67592,58838
67592,62591
67592,67214
67592,77506
67592,92600
67592,97005
23,24779
23,73587
23,74024
23,88292
23,93697
24779,5371
73587,1049
73587,8528
73587,19626
73587,25910
73587,28858
73587,30609
73587,31556
73587,33747
73587,35615
73587,36368
73587,36869
73587,43189
73587,51085
73587,54946
73587,65947
74024,61831
88292,13365
88292,17465
93697,36364
93697,45314
24,36670
36670,19642
25,11058
11058,79367
11058,96820
26,56975
56975,770
56975,12274
56975,23682
27,25987
27,69177
27,70743
25987,25472
25987,73481
25987,89254
25987,94396
70743,8312
28,4146
4146,84804
29,93330
30,16057
31,81246
81246,41360
32,41247
33,79360
79360,10108
79360,30243
34,23780
34,62126
34,81738
34,89821
34,100017
23780,1622
23780,33718
23780,44158
81738,60622
100017,47643
35,86446
86446,28083
86446,28934
86446,33937
86446,57574
36,30838
36,57043
36,85178
30838,43470
57043,1581
57043,4890
57043,7022
57043,8521
57043,9974
57043,16075
57043,17006
57043,21467
57043,22411
57043,23132
57043,23361
57043,24097
57043,25805
57043,28235
57043,28534
57043,28845
57043,31605
57043,43470
57043,45528
57043,54546
57043,69189
57043,71426
57043,73948
57043,77562
57043,84261
57043,89023
57043,92057
57043,97309
57043,98695
57043,100202
85178,20202
85178,20434
85178,28845
85178,40064
85178,52994
85178,54546
85178,59891
85178,61568
37,14587
37,43344
14587,85990
14587,98893
43344,86673
39,2015
2015,78662
2015,82257
2015,83111
2015,99805
40,38333
40,70779
38333,17265
70779,42464
41,84407
84407,52241
42,47267
47267,8004
47267,43146
47267,58400
43,44918
44918,26275
44,27715
44,48083
44,54967
44,63138
44,89307
27715,72786
27715,85186
48083,4132
48083,8662
48083,11672
48083,13343
48083,15341
48083,19525
48083,22018
48083,27896
48083,38720
48083,39972
48083,41110
48083,60740
48083,70680
48083,72792
48083,74107
48083,76578
48083,78793
48083,80603
48083,86852
48083,87864
48083,88800
48083,88979
48083,93769
48083,94229
48083,94349
48083,96287
48083,97412
48083,98732
54967,1820
54967,5884
54967,15275
54967,29245
54967,32582
54967,32727
54967,36494
54967,68169
54967,68309
54967,79576
54967,81161
63138,32071
89307,38512
45,51592
51592,27091
46,101372
47,97480
48,12012
48,82331
48,85815
12012,15935
49,12896
12896,6553
12896,9204
12896,34643
12896,51268
50,43068
43068,8650
51,25301
51,80550
25301,17036
25301,22335
25301,25472
25301,27029
52,48564
48564,3271
53,26438
26438,60080
54,5280
5280,10088
5280,62920
55,53462
56,30223
57,53962
57,81658
57,90173
57,101097
53962,17036
53962,22154
53962,33995
53962,55088
53962,65857
53962,84140
81658,32833
81658,40613
81658,64964
101097,33435
58,37990
58,47090
58,58512
58,94026
58,98419
37990,38524
37990,60485
47090,363
47090,47827
47090,49003
47090,63741
47090,78038
47090,88194
47090,89085
47090,90559
47090,92821
58512,3170
58512,6233
58512,6568
58512,6978
58512,7228
58512,9729
58512,10125
58512,11003
58512,13385
58512,18215
